instruction,input,output
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,この度、社長に就任した。,このたび、社長に就任した。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,納豆は食べれますか。,納豆は食べられますか。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,富士山が見れる場所。,富士山が見られる場所。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,この程、開催された。,このほど、開催された。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,まだここに来れますか。,まだここに来られますか。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,彼はブラインドタッチが得意だ。,彼はタッチタイピングが得意だ。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,早く寝れるといいね。,早く寝られるといいね。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,肌色の服を買った。,薄だいだい色の服を買った。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,話してる。,話している。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,英語を話せる。,英語を話せる。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,公園で子供が遊んでいる。,公園で子どもが遊んでいる。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,ゴミ箱に捨てる。,ごみ箱に捨てる。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,朝早く起きれる。,朝早く起きれる。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,今日はいい天気だ。,今日はいい天気だ。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,祖父は痴呆を患っている。,祖父は認知症を患っている。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,馬から落馬した。,落馬した。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,混血児を受け入れた。,国際児を受け入れた。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,受注を受ける。,受注した。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,雨が降っている。,雨が降っている。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,愛嬌がいい。,愛嬌がある。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,雪辱を晴らした。,雪辱を果たした。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,３位に入賞した。,３位に入賞した。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,子供をしつける。,子どもをしつける。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,テレビを見たり、音楽を聞いた。,テレビを見たり、音楽を聞いたり、
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,屈辱を果たした。,屈辱を晴らした。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,信じれない光景だ。,信じられない光景だ。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,過半数を超えた。,過半数に達した。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,愛想がある。,愛想がよい。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,国際情勢について知ってる。,国際情勢について知っている。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,ドリブルをしてる。,ドリブルをしている。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,犯罪を犯す。,罪を犯す。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,明日なら出れるよ,明日なら出られるよ。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,ご飯を食べたり、仮眠をとった。,ご飯を食べたり、仮眠をとったり。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,ケガをした。,けがをした。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,遠くまで投げれる。,遠くまで投げられる。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,在日の友人がいる。,在日韓国・朝鮮人の友人がいる。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,漢字をたくさん書ける。,漢字をたくさん書ける。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,後で後悔することになる。,後悔することになる。
新聞記者ハンドブックのルールに従い、入力された文章を校閲してください。,怪我をした。,けがをした。
